step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_detections,metrics/test.rmse_detections_pcutoff,metrics/test.rmse_pcutoff
101,,,,,1.687552321527619e-05,0.01904083602130413,0.0004844586655963212,0.0004844586655963212,,,,,,
102,,,,,1.6900412447284907e-05,0.018050510436296463,0.0004597129882313311,0.0004597129882313311,,,,,,
103,,,,,1.7394528185832314e-05,0.01879352144896984,0.00047853533760644495,0.00047853533760644495,,,,,,
104,,,,,1.7275795471505262e-05,0.018522294238209724,0.0004716952098533511,0.0004716952098533511,,,,,,
105,,,,,1.9795865227933973e-05,0.019552605226635933,0.0004987130523659289,0.0004987130523659289,,,,,,
106,,,,,1.9694492948474362e-05,0.01918908953666687,0.0004895745078101754,0.0004895745078101754,,,,,,
107,,,,,1.8263555830344558e-05,0.018780995160341263,0.00047865670057944953,0.00047865670057944953,,,,,,
108,,,,,1.8608492609928362e-05,0.017679709941148758,0.0004512969753704965,0.0004512969753704965,,,,,,
109,,,,,1.714677273412235e-05,0.019282996654510498,0.0004906483227387071,0.0004906483227387071,,,,,,
110,2.5896550141624175e-05,0.06957457214593887,0.001752312877215445,0.001752312877215445,1.5694802641519345e-05,0.017833421006798744,0.00045368296559900045,0.00045368296559900045,91.90203230849401,92.5,2.9727773666381836,2.9727773666381836,2.9727773666381836,2.9727768898010254
111,,,,,1.673380575084593e-05,0.018908558413386345,0.0004810808750335127,0.0004810808750335127,,,,,,
112,,,,,1.6052110368036665e-05,0.018125547096133232,0.0004611647455021739,0.0004611647455021739,,,,,,
113,,,,,1.7174797903862782e-05,0.017814716324210167,0.0004539552901405841,0.0004539552901405841,,,,,,
114,,,,,1.891233114292845e-05,0.019697362557053566,0.0005018902593292296,0.0005018902593292296,,,,,,
115,,,,,1.8345612261327915e-05,0.01860208623111248,0.00047422488569281995,0.00047422488569281995,,,,,,
116,,,,,1.6768291970947757e-05,0.017293818295001984,0.0004407296364661306,0.0004407296364661306,,,,,,
117,,,,,1.5147406884352677e-05,0.016581358388066292,0.0004221076378598809,0.0004221076378598809,,,,,,
118,,,,,1.7564399968250655e-05,0.01827182248234749,0.00046557781752198935,0.00046557781752198935,,,,,,
119,,,,,1.6683447029208764e-05,0.01740693859755993,0.00044351519318297505,0.00044351519318297505,,,,,,
